TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
,Nsl,42.5,
0.0,Husqvarna,-166.0,1.0
0.0,Abicare,-76.5,1.0
1.0,Rentokil,414.0,1.0
,Westonecars,1.5,
0.0,Quantum Tm,-111.0,1.0
,Hm Forces,1.5,
1.0,Army,158.0,1.0
,H M Forces,14.0,
,Bentlys Restaurant And Oyster Bar,96.43,
,Fife Council,91.25,
1.0,Glasgow Housing Association,260.0,
,Lbm Marketing,73.68,
1.0,Barcelo Hotels,857.5,
1.0,Laterooms,504.0,1.0
0.0,Johnson Control,-183.5,
0.0,Restons,-191.0,1.0
1.0,Sainsburys,311.52,
1.0,Hm Forces,1298.09,
0.0,Orchid Pubs Ltd,-96.0,1.0
1.0,National Magazines,155.04,
0.0,British Telecomms,-226.0,1.0
0.0,Poundland Ltd,-8.5,
1.0,Black & White Int,410.52,
1.0,Currys Plc,166.22,
1.0,Bombardier,256.52,
1.0,Bp,702.0,
,Nhs-Tees Esk And Wear Valleys,1.0,
,B And Q,41.5,
1.0,Rbs,856.5,
,Wragge & Co,13.4,
1.0,Army,1223.0,
,New Beginnings,20.0,
0.0,Anglia Ruskin University,-88.39,1.0
0.0,Primark,-161.0,1.0
1.0,York Mailing,163.5,
0.0,Cornerstone,-186.0,1.0
1.0,British Army,627.5,
1.0,Marie Curie Cancer Care,100.5,
0.0,Waitrose,-11.0,
,Supersonic Travel,88.97,
1.0,Gist Ltd,200.36,
1.0,Birmingham East And North Pct,338.75,
0.0,Tesco,-130.89,1.0
1.0,Premierline Direct,735.4,
1.0,G4s,381.5,
,Matalan,65.64,
1.0,Chubb Security Personnel Ltd,276.5,
1.0,Ibm,967.5,
,Great Western Ambulance Service,34.23,
1.0,Apollo Fire Detectors,971.5,
0.0,Debt Correct,-186.0,1.0
0.0,University Of Bedfordshire,-72.36,1.0
0.0,Network Rail,-128.5,
1.0,Powys County Council,589.0,
0.0,Tesco,-243.5,1.0
1.0,Bae Systems,874.0,
1.0,Royal Navy,124.0,1.0
,Select Lifestyles,99.0,1.0
0.0,Hull College,-248.5,
1.0,Oldham Council,315.0,
1.0,St Pancras Police Station,558.85,
0.0,Wincanton,-9.75,
1.0,Boots,1221.5,
0.0,R.P.H,-108.5,
1.0,B&M Bargins Ltd,775.25,
0.0,Wish Communications,-129.75,1.0
1.0,Bannatyne Fitness,870.25,
0.0,Trust,-37.5,1.0
0.0,Barcelo Marine Troon,-6.0,
0.0,Luxonic Lighting Plc,-146.0,1.0
,Absl Power Solution,4.0,1.0
1.0,Coleg Gwent,646.5,
1.0,Barrett Steels,576.5,
1.0,Next,119.0,
